Tid	Kanal A	Kanal B
(ms)	(V)	(V)

-100.03107839	4.88189000	-0.88976380
-99.99031039	4.88189000	-0.88976380
-99.94954239	4.88189000	-0.88976380
-99.90877439	4.80315000	-0.88976380
-99.86800639	4.88189000	-0.88976380
-99.82723840	4.88189000	-0.88976380
-99.78647040	4.88189000	-0.88976380
-99.74570240	4.88189000	-0.88188980
-99.70493440	4.88189000	-0.88976380
-99.66416640	4.88189000	-0.88976380
-99.62339841	4.88189000	-0.88976380
-99.58263041	4.88189000	-0.88976380
-99.54186241	4.88189000	-0.88976380
-99.50109441	4.88189000	-0.88976380
-99.46032641	4.88189000	-0.88976380
-99.41955842	4.88189000	-0.88188980
-99.37879042	4.88189000	-0.88976380
-99.33802242	4.88189000	-0.88976380
-99.29725442	4.88189000	-0.88976380
-99.25648642	4.88189000	-0.88976380
-99.21571842	4.88189000	-0.88976380
-99.17495043	4.88189000	-0.88976380
-99.13418243	4.88189000	-0.88976380
-99.09341443	4.88189000	-0.88976380
-99.05264643	4.88189000	-0.88976380
-99.01187843	4.80315000	-0.88976380
-98.97111044	4.80315000	-0.88976380
-98.93034244	4.80315000	-0.88976380
-98.88957444	4.88189000	-0.88976380
-98.84880644	4.88189000	-0.88976380
-98.80803844	4.88189000	-0.88976380
-98.76727045	4.88189000	-0.88976380
-98.72650245	4.88189000	-0.88976380
-98.68573445	4.88189000	-0.88976380
-98.64496645	4.88189000	-0.88976380
-98.60419845	4.88189000	-0.88976380
-98.56343045	4.80315000	-0.88976380
-98.52266246	4.88189000	-0.88976380
-98.48189446	4.88189000	-0.88976380
-98.44112646	4.88189000	-0.88976380
-98.40035846	4.88189000	-0.88976380
-98.35959046	4.88189000	-0.88976380
-98.31882247	4.88189000	-0.88976380
-98.27805447	4.88189000	-0.88976380
-98.23728647	4.88189000	-0.88976380
-98.19651847	4.88189000	-0.88976380
-98.15575047	4.88189000	-0.88976380
-98.11498247	4.88189000	-0.88976380
-98.07421448	4.80315000	-0.88976380
-98.03344648	4.88189000	-0.88976380
-97.99267848	4.88189000	-0.88976380
-97.95191048	4.88189000	-0.88976380
-97.91114248	4.88189000	-0.88976380
-97.87037449	4.88189000	-0.88976380
-97.82960649	4.88189000	-0.88976380
-97.78883849	4.88189000	-0.88976380
-97.74807049	4.88189000	-0.88976380
-97.70730249	4.88189000	-0.88976380
-97.66653450	4.80315000	-0.88976380
-97.62576650	4.88189000	-0.88976380
-97.58499850	4.88189000	-0.88976380
-97.54423050	4.88189000	-0.88976380
-97.50346250	4.88189000	-0.88976380
-97.46269450	4.80315000	-0.88976380
-97.42192651	4.88189000	-0.88976380
-97.38115851	4.80315000	-0.88976380
-97.34039051	4.80315000	-0.88976380
-97.29962251	4.88189000	-0.88976380
-97.25885451	4.88189000	-0.88976380
-97.21808652	4.80315000	-0.89763780
-97.17731852	4.88189000	-0.88976380
-97.13655052	4.88189000	-0.88976380
-97.09578252	4.88189000	-0.89763780
-97.05501452	4.88189000	-0.88976380
-97.01424652	4.88189000	-0.88976380
-96.97347853	4.88189000	-0.88976380
-96.93271053	4.88189000	-0.88976380
-96.89194253	4.88189000	-0.88976380
-96.85117453	4.80315000	-0.88976380
-96.81040653	4.88189000	-0.88976380
-96.76963854	4.88189000	-0.88976380
-96.72887054	4.88189000	-0.88976380
-96.68810254	4.88189000	-0.88976380
-96.64733454	4.88189000	-0.88976380
-96.60656654	4.88189000	-0.88976380
-96.56579855	4.88189000	-0.88976380
-96.52503055	4.88189000	-0.88976380
-96.48426255	4.88189000	-0.88976380
-96.44349455	4.88189000	-0.88976380
-96.40272655	4.88189000	-0.88976380
-96.36195855	4.88189000	-0.88976380
-96.32119056	4.88189000	-0.88976380
-96.28042256	4.88189000	-0.88976380
-96.23965456	4.88189000	-0.88976380
-96.19888656	4.88189000	-0.88976380
-96.15811856	4.88189000	-0.88976380
-96.11735057	4.88189000	-0.88976380
-96.07658257	4.88189000	-0.88976380
-96.03581457	4.88189000	-0.88976380
-95.99504657	4.88189000	-0.88976380
-95.95427857	4.88189000	-0.88976380
-95.91351057	4.88189000	-0.89763780
-95.87274258	4.88189000	-0.88976380
-95.83197458	4.88189000	-0.89763780
-95.79120658	4.88189000	-0.89763780
-95.75043858	4.88189000	-0.88976380
-95.70967058	4.88189000	-0.88976380
-95.66890259	4.88189000	-0.88976380
-95.62813459	4.88189000	-0.88976380
-95.58736659	4.88189000	-0.88976380
-95.54659859	4.88189000	-0.88976380
-95.50583059	4.88189000	-0.88976380
-95.46506260	4.88189000	-0.88976380
-95.42429460	4.88189000	-0.89763780
