Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
1,North Carolina,ACC,34-4,+31.14,123.2,92.1,72.9,-.011,+9.91,108.2,98.3,+1.06
2,Connecticut,BE,31-5,+29.25,116.0,86.8,67.1,+.024,+10.37,109.0,98.6,-1.68
3,Pittsburgh,BE,31-5,+28.96,121.2,92.3,65.2,-.012,+10.11,108.1,98.0,+0.79
4,Memphis,CUSA,33-4,+28.67,112.8,84.2,65.9,-.009,+4.73,105.5,100.8,+4.19
5,Louisville,BE,31-6,+26.06,111.2,85.2,66.9,+.068,+9.57,108.6,99.0,-0.19
6,Missouri,B12,31-7,+24.81,116.6,91.8,70.9,+.031,+7.96,106.4,98.4,-3.76
7,Oklahoma,B12,30-6,+24.59,118.3,93.7,66.6,+.018,+9.49,108.3,98.9,+0.46
8,Gonzaga,WCC,28-6,+24.51,117.5,93.0,67.1,+.003,+4.63,105.1,100.5,+10.61
9,Michigan St.,B10,31-7,+24.37,114.3,89.9,66.5,+.091,+12.33,109.4,97.1,+5.81
10,Duke,ACC,30-7,+24.31,117.5,93.2,66.3,+.053,+10.23,108.5,98.3,+3.18
11,West Virginia,BE,23-12,+24.21,115.1,90.9,63.7,-.067,+10.95,108.9,98.0,+2.11
12,UCLA,P10,26-9,+23.93,119.5,95.6,65.3,-.030,+8.42,107.6,99.1,-3.43
13,Villanova,BE,30-8,+23.89,114.4,90.5,68.3,+.021,+9.99,108.9,98.9,-5.37
14,Kansas,B12,27-8,+23.83,114.5,90.7,67.2,-.013,+8.83,107.9,99.1,+1.55
15,Arizona St.,P10,25-10,+23.03,118.2,95.2,59.1,-.018,+10.14,108.9,98.8,-2.04
16,Syracuse,BE,28-10,+22.21,117.0,94.8,69.7,+.024,+11.46,108.4,97.0,+0.77
17,Washington,P10,26-9,+22.09,113.1,91.0,72.2,-.005,+10.18,109.4,99.2,+0.09
18,Purdue,B10,27-10,+21.84,110.5,88.7,65.9,-.012,+8.94,107.2,98.3,-5.45
19,Marquette,BE,25-10,+21.02,117.1,96.1,67.5,-.014,+8.22,107.8,99.5,-4.95
20,Xavier,A10,27-8,+20.24,111.0,90.8,65.8,-.008,+5.81,105.8,100.0,+7.97
21,BYU,MWC,25-8,+20.10,114.0,93.9,69.0,-.046,+4.57,105.4,100.9,+0.39
22,Texas,B12,23-12,+19.65,112.2,92.5,65.4,-.048,+10.16,109.2,99.0,+2.01
23,Clemson,ACC,23-9,+19.62,116.4,96.7,67.9,-.024,+6.19,105.4,99.2,-4.45
24,Wake Forest,ACC,24-7,+18.88,111.6,92.7,72.8,+.051,+7.66,107.5,99.9,-4.35
25,Illinois,B10,24-10,+18.72,106.8,88.1,62.8,+.001,+7.96,106.5,98.6,-3.36
26,Oklahoma St.,B12,23-12,+18.33,116.4,98.1,69.3,-.003,+10.46,108.8,98.4,-0.28
27,USC,P10,22-13,+18.26,110.0,91.8,63.7,-.032,+10.81,110.5,99.7,+0.74
28,Utah,MWC,24-10,+17.80,110.8,92.9,65.0,+.013,+7.29,107.9,100.6,+6.96
29,Wisconsin,B10,20-13,+17.62,113.3,95.7,59.1,-.052,+9.51,107.3,97.8,+1.32
30,California,P10,22-11,+17.37,116.8,99.4,66.0,+.001,+9.17,108.0,98.8,-3.54
31,Georgetown,BE,16-15,+16.96,111.1,94.2,62.7,-.106,+11.11,108.7,97.6,+2.49
32,Tennessee,SEC,21-13,+16.48,115.1,98.7,67.7,-.032,+9.40,107.9,98.5,+9.15
33,Baylor,B12,24-15,+16.38,116.5,100.1,65.8,-.017,+10.57,108.6,98.0,-2.35
34,Ohio St.,B10,22-11,+16.34,113.3,96.9,62.5,+.042,+9.46,107.7,98.2,-3.41
35,Florida,SEC,25-11,+16.16,115.1,98.9,65.8,-.076,+2.61,104.0,101.4,-8.15
36,San Diego St.,MWC,26-10,+16.05,109.4,93.3,61.8,+.020,+5.59,105.6,100.0,-1.71
37,Arizona,P10,21-14,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
38,Butler,Horz,26-6,+15.78,110.3,94.5,62.8,-.014,+2.51,103.0,100.5,+6.15
39,Florida St.,ACC,25-10,+15.76,105.9,90.1,65.9,+.066,+10.01,109.2,99.2,+0.60
40,Minnesota,B10,22-11,+15.43,108.1,92.6,64.5,+.031,+8.44,107.4,98.9,-4.18
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
41,Notre Dame,BE,21-15,+15.38,115.0,99.6,67.2,-.034,+9.93,107.5,97.6,-3.71
42,Miami FL,ACC,19-13,+15.30,111.2,95.9,64.3,-.048,+9.10,108.1,98.9,-4.21
43,New Mexico,MWC,22-12,+15.29,112.2,96.9,64.8,-.054,+4.56,105.9,101.3,+0.48
44,Utah St.,WAC,30-5,+15.12,116.7,101.6,60.0,+.046,-0.47,103.2,103.6,-2.77
45,Texas A&M,B12,24-10,+15.01,113.1,98.1,63.9,+.053,+7.85,107.1,99.3,-4.30
46,LSU,SEC,27-8,+14.86,111.5,96.6,66.1,+.075,+3.50,104.6,101.1,-8.66
47,Michigan,B10,21-14,+14.75,112.2,97.5,62.5,+.014,+11.39,108.5,97.1,+0.63
48,Kentucky,SEC,22-14,+14.62,107.8,93.2,66.6,-.073,+5.14,106.5,101.4,-5.74
49,Washington St.,P10,17-16,+14.58,105.0,90.4,57.6,-.076,+10.04,109.8,99.7,-1.96
50,Temple,A10,22-12,+14.38,109.9,95.5,63.5,-.005,+6.68,106.9,100.3,+7.22
51,Kansas St.,B12,22-12,+14.18,109.4,95.2,67.4,-.019,+5.84,106.2,100.3,-8.12
52,Stanford,P10,20-14,+14.13,112.5,98.3,67.5,-.022,+7.65,107.6,99.9,-4.87
53,UAB,CUSA,22-12,+13.73,109.4,95.7,66.4,-.009,+5.04,106.2,101.2,+3.87
54,VCU,CAA,24-10,+13.62,110.1,96.4,65.8,-.073,+0.23,102.9,102.7,+3.46
55,Maryland,ACC,21-14,+13.55,110.0,96.4,66.3,+.039,+9.61,108.3,98.7,-3.29
56,Saint Mary's,WCC,28-7,+13.36,110.6,97.2,66.5,+.083,+1.81,103.6,101.8,+1.62
57,Penn St.,B10,27-11,+12.91,111.8,98.9,61.8,+.080,+6.15,105.2,99.0,-9.92
58,Tulsa,CUSA,25-11,+12.75,106.2,93.4,64.1,+.060,+4.88,105.4,100.5,+2.32
59,Auburn,SEC,24-12,+12.46,106.8,94.3,68.3,-.032,+3.54,104.7,101.2,-7.27
60,Illinois St.,MVC,24-10,+12.44,109.0,96.5,64.2,-.038,+1.10,103.1,102.0,-4.41
61,North Dakota St.,Sum,26-7,+12.29,114.3,102.0,67.5,-.009,-1.60,103.1,104.7,+2.21
62,Rhode Island,A10,23-11,+12.26,113.7,101.5,67.7,-.043,+3.16,104.9,101.7,+0.22
63,Nebraska,B12,18-13,+12.21,103.5,91.3,62.9,-.032,+6.32,106.6,100.3,-8.47
64,Davidson,SC,27-8,+12.06,105.1,93.1,70.0,+.003,-3.79,102.8,106.6,+8.47
65,Northwestern,B10,17-14,+12.01,111.7,99.7,60.2,-.029,+7.92,106.6,98.6,-5.83
66,Cleveland St.,Horz,26-11,+11.96,105.3,93.3,63.7,+.009,+3.76,104.6,100.9,+7.07
67,Siena,MAAC,27-8,+11.93,110.3,98.4,70.7,+.031,+0.91,102.4,101.5,+7.27
68,Creighton,MVC,27-8,+11.79,111.9,100.1,67.0,+.050,+0.97,102.3,101.4,-2.51
69,Mississippi St.,SEC,23-13,+11.55,107.8,96.2,67.2,-.004,+4.96,105.3,100.3,-3.07
70,Houston,CUSA,21-12,+11.49,109.2,97.7,68.5,-.038,+1.63,104.2,102.5,-4.81
71,South Carolina,SEC,21-10,+11.44,107.3,95.9,72.6,-.012,+2.80,104.4,101.6,-9.84
72,Virginia Tech,ACC,19-15,+11.37,110.9,99.5,65.4,-.007,+8.01,107.5,99.5,-2.87
73,UNLV,MWC,21-11,+11.29,106.9,95.6,65.1,+.010,+4.73,105.5,100.8,-1.30
74,Boston College,ACC,22-12,+11.20,113.2,102.0,65.3,+.038,+6.40,106.6,100.2,-5.57
75,Niagara,MAAC,26-9,+10.62,109.2,98.6,68.4,+.003,-1.57,100.9,102.5,-0.27
76,Seton Hall,BE,17-15,+10.30,110.7,100.4,67.7,-.025,+8.26,106.6,98.3,-5.48
77,Providence,BE,19-14,+10.26,111.0,100.7,72.1,+.034,+7.68,107.2,99.5,-4.69
78,Dayton,A10,27-8,+10.23,103.3,93.0,64.5,+.107,+2.34,104.9,102.6,-4.57
79,Green Bay,Horz,22-11,+10.16,112.9,102.7,65.0,-.018,+0.55,102.8,102.3,-0.86
80,Vanderbilt,SEC,19-12,+10.01,107.6,97.6,65.3,-.011,+3.25,103.9,100.6,-6.22
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
81,N.C. State,ACC,16-14,+9.84,113.5,103.6,63.0,-.060,+5.74,106.0,100.2,-10.96
82,UTEP,CUSA,23-14,+9.84,108.2,98.4,70.5,+.003,+4.30,106.0,101.7,+2.52
83,Northern Iowa,MVC,23-11,+9.70,110.6,100.9,60.8,+.051,+3.10,104.7,101.6,+1.88
84,Vermont,AE,24-9,+9.10,108.7,99.6,69.0,-.020,-5.47,99.8,105.3,-5.33
85,Duquesne,A10,21-13,+8.95,115.2,106.2,68.9,+.009,+2.83,103.7,100.9,-3.06
86,Cincinnati,BE,18-14,+8.72,108.7,100.0,63.5,+.032,+8.11,106.8,98.7,-2.26
87,Iowa,B10,15-17,+8.44,108.6,100.2,57.6,-.055,+7.89,107.6,99.7,-3.27
88,Western Kentucky,SB,25-9,+8.10,111.1,103.0,65.6,+.092,-0.60,102.2,102.8,+6.63
89,George Mason,CAA,22-11,+8.04,104.6,96.6,62.2,-.011,-0.25,102.7,102.9,-0.25
90,Oral Roberts,Sum,16-15,+7.85,103.0,95.2,67.6,-.111,+1.78,105.2,103.4,+13.25
91,Miami OH,MAC,17-13,+7.38,103.5,96.2,60.4,-.005,+2.44,102.5,100.0,+10.25
92,Mississippi,SEC,16-15,+7.19,111.4,104.2,66.3,-.001,+6.06,105.4,99.3,+0.06
93,Old Dominion,CAA,25-10,+7.02,105.0,98.0,62.2,+.043,-2.52,101.4,103.9,-8.55
94,Texas Tech,B12,14-19,+7.01,109.3,102.3,71.4,-.017,+10.65,109.2,98.6,+1.39
95,Akron,MAC,23-13,+6.90,102.9,96.0,64.8,-.014,-1.60,100.9,102.5,-1.83
96,Wright St.,Horz,20-13,+6.90,100.7,93.8,61.6,+.014,+1.26,103.0,101.7,+1.42
97,Northeastern,CAA,19-13,+6.84,106.4,99.6,59.7,+.023,+2.28,103.4,101.1,+6.72
98,Georgia Tech,ACC,12-19,+6.73,100.4,93.7,70.5,-.107,+7.67,107.3,99.6,-4.44
99,Saint Joseph's,A10,17-15,+6.71,105.7,99.0,63.9,-.041,+3.00,104.2,101.2,+1.78
100,Alabama,SEC,18-14,+6.63,105.9,99.3,67.5,-.016,+4.06,105.2,101.2,-7.19
101,Stephen F. Austin,Slnd,24-8,+6.52,97.0,90.4,62.4,+.053,-1.98,101.9,103.9,+4.63
102,Oakland,Sum,23-13,+6.36,114.2,107.8,64.8,+.026,+0.27,104.1,103.8,+7.23
103,Nevada,WAC,21-13,+6.07,105.8,99.8,66.3,+.002,+1.04,104.2,103.2,+2.94
104,Virginia,ACC,10-18,+5.77,103.5,97.8,67.2,-.066,+9.75,108.4,98.6,-2.58
105,East Tennessee St.,ASun,23-11,+5.67,106.4,100.7,69.6,-.048,-4.73,100.2,105.0,-1.26
106,La Salle,A10,18-13,+5.35,105.9,100.5,66.7,-.009,+1.08,103.0,101.9,-3.46
107,Cornell,Ivy,21-10,+5.23,108.5,103.3,65.4,-.005,-5.58,99.0,104.6,-0.50
108,Cal St. Northridge,BW,17-14,+5.18,102.2,97.0,71.8,-.045,+0.26,104.0,103.7,+5.14
109,Portland,WCC,19-13,+5.01,107.3,102.3,64.6,-.006,+0.27,103.0,102.8,+0.64
110,Pacific,BW,21-13,+4.92,108.8,103.9,58.5,-.026,-1.91,102.4,104.3,-0.41
111,Oregon St.,P10,18-18,+4.91,106.1,101.2,57.4,+.068,+9.11,108.3,99.2,-6.43
112,American,Pat,24-8,+4.70,105.3,100.6,60.7,+.093,-6.34,97.6,104.0,+0.55
113,Iowa St.,B12,15-17,+4.60,102.5,97.9,63.7,-.017,+5.50,106.3,100.8,-8.10
114,Richmond,A10,20-16,+4.43,106.8,102.4,63.9,-.034,+1.08,103.7,102.6,-1.47
115,Belmont,ASun,20-13,+4.25,106.6,102.4,69.1,-.047,-3.83,101.3,105.2,+2.46
116,Weber St.,BSky,21-10,+4.20,103.2,99.0,67.0,+.078,-1.93,103.1,105.0,+4.01
117,Tennessee Martin,OVC,22-10,+4.20,108.5,104.3,68.3,+.013,-5.21,101.2,106.4,-4.28
118,Portland St.,BSky,23-10,+4.04,109.2,105.1,64.8,+.025,-3.32,101.5,104.8,-0.00
119,Buffalo,MAC,21-12,+3.96,102.6,98.6,64.6,+.036,+0.07,101.5,101.4,+1.97
120,Bradley,MVC,21-15,+3.95,104.9,101.0,64.7,+.046,+1.45,104.2,102.8,-0.67
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
121,St. John's,BE,16-18,+3.88,102.7,98.8,65.4,+.001,+6.51,106.3,99.8,-9.60
122,Jacksonville,ASun,18-14,+3.87,108.2,104.4,66.2,-.071,-3.19,100.5,103.7,+4.84
123,Sam Houston St.,Slnd,18-12,+3.64,107.3,103.7,66.1,-.065,-1.21,102.3,103.5,+4.34
124,Kent St.,MAC,19-15,+3.47,103.2,99.7,66.1,-.031,-1.00,100.9,101.9,+0.13
125,New Mexico St.,WAC,17-15,+3.31,109.4,106.0,69.1,-.020,+0.85,103.6,102.7,+0.17
126,TCU,MWC,14-17,+3.23,103.5,100.3,62.8,-.019,+5.35,105.5,100.1,-0.40
127,Arkansas,SEC,14-16,+3.20,105.1,101.9,68.6,-.040,+3.85,105.1,101.2,-7.75
128,Evansville,MVC,17-14,+3.10,102.7,99.6,66.5,+.016,+1.36,103.6,102.2,-4.22
129,Illinois Chicago,Horz,16-15,+3.01,105.6,102.6,65.1,-.022,+1.33,102.6,101.3,+0.23
130,Wyoming,MWC,19-14,+2.98,107.0,104.0,69.5,+.094,+3.71,105.2,101.5,-8.43
131,Murray St.,OVC,19-12,+2.76,103.1,100.3,62.4,-.028,-3.03,103.0,106.0,+5.35
132,Drexel,CAA,15-14,+2.65,98.6,95.9,63.0,-.002,-0.14,102.4,102.5,+3.49
133,James Madison,CAA,21-15,+2.42,105.8,103.3,65.9,+.027,-1.83,101.6,103.4,-4.69
134,Wichita St.,MVC,17-17,+2.39,102.8,100.4,62.3,-.004,+2.35,104.2,101.8,-0.36
135,UCF,CUSA,17-14,+2.32,105.9,103.6,65.9,+.022,+1.06,104.5,103.4,-3.01
136,South Florida,BE,9-22,+2.30,101.5,99.2,60.9,-.056,+10.30,107.7,97.4,+3.04
137,Santa Clara,WCC,16-17,+2.25,101.6,99.3,63.7,-.051,+1.10,103.8,102.7,+0.99
138,Massachusetts,A10,12-18,+2.22,105.1,102.9,68.4,-.039,+4.83,105.7,100.9,+4.34
139,UT Arlington,Slnd,16-14,+2.05,109.4,107.4,69.0,-.105,-1.58,102.0,103.6,+2.24
140,Charlotte,A10,11-20,+1.84,103.9,102.0,65.5,-.095,+3.64,105.1,101.5,+1.63
141,Drake,MVC,17-16,+1.80,102.4,100.6,62.9,-.032,+0.60,103.3,102.7,-4.76
142,Bowling Green,MAC,19-14,+1.79,102.5,100.7,62.5,-.010,-1.76,100.3,102.1,-4.43
143,Saint Louis,A10,18-14,+1.75,101.8,100.1,60.0,+.038,+0.24,102.7,102.5,-7.19
144,Southern Miss,CUSA,15-17,+1.58,106.7,105.1,62.4,-.018,+4.27,105.2,100.9,+1.04
145,Mount St. Mary's,NEC,19-14,+1.54,101.4,99.9,63.9,-.091,-6.13,100.3,106.4,+3.61
146,Robert Morris,NEC,24-11,+1.49,102.0,100.6,66.0,+.055,-7.27,99.3,106.5,+0.44
147,College of Charleston,SC,27-9,+1.40,110.0,108.6,66.2,+.085,-6.68,100.2,106.9,-5.89
148,Arkansas Little Rock,SB,23-8,+1.24,99.9,98.7,64.9,+.144,-4.49,100.4,104.8,-2.91
149,Rutgers,BE,11-21,+1.13,98.6,97.4,64.2,-.074,+6.25,106.2,99.9,-10.09
150,Morgan St.,MEAC,23-12,+0.99,100.1,99.1,65.5,+.031,-7.43,98.2,105.7,+4.82
151,Boise St.,WAC,19-13,+0.97,103.1,102.1,68.7,+.091,-0.24,104.1,104.4,-3.56
152,North Texas,SB,20-12,+0.95,109.0,108.0,68.1,+.036,-3.27,102.1,105.4,+0.89
153,Milwaukee,Horz,17-14,+0.93,104.6,103.7,66.6,+.064,+1.24,102.6,101.4,+1.37
154,Marshall,CUSA,15-17,+0.92,107.2,106.3,64.6,+.003,+3.46,105.2,101.8,+2.90
155,Eastern Kentucky,OVC,18-13,+0.90,112.6,111.7,59.4,-.031,-4.50,101.3,105.8,-2.32
156,Southern Illinois,MVC,13-18,+0.81,102.2,101.4,63.7,-.015,+4.13,105.4,101.3,+5.10
157,Morehead St.,OVC,20-16,+0.76,102.0,101.3,65.3,+.015,-1.90,103.6,105.5,+3.49
158,Lipscomb,ASun,17-14,+0.44,105.5,105.1,67.7,-.102,-6.98,98.7,105.7,-5.04
159,Oregon,P10,8-23,+0.43,104.2,103.8,68.2,+.018,+12.58,110.6,98.0,+5.57
160,Idaho,WAC,17-16,+0.25,104.4,104.1,62.4,+.017,+0.50,103.5,103.0,-0.42
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
161,Texas A&M Corpus Chris,Slnd,18-15,+0.20,100.0,99.8,66.4,+.033,+0.81,102.6,101.7,+7.27
162,San Diego,WCC,16-16,+0.11,98.4,98.3,62.1,+.015,+1.53,103.8,102.2,+4.25
163,Louisiana Tech,WAC,15-18,-0.00,101.3,101.3,62.5,-.035,-1.48,102.6,104.0,-6.49
164,Middle Tennessee,SB,18-14,-0.07,104.5,104.6,63.3,-.044,-4.20,102.2,106.4,-3.38
165,UC Santa Barbara,BW,16-15,-0.09,99.8,99.9,65.0,-.006,-1.37,103.0,104.4,+0.90
166,VMI,BSth,24-8,-0.44,108.5,108.9,80.1,+.074,-6.92,98.4,105.3,-0.50
167,Nicholls St.,Slnd,20-11,-0.46,101.9,102.3,59.1,+.043,-4.14,99.2,103.3,-1.27
168,Long Beach St.,BW,15-15,-0.51,104.5,105.0,65.9,+.048,+0.43,104.2,103.8,+4.73
169,Hofstra,CAA,21-11,-0.56,97.9,98.4,67.0,+.148,-1.39,102.0,103.4,-1.72
170,Ohio,MAC,15-17,-0.58,101.8,102.4,65.1,-.023,-0.48,101.4,101.9,+1.14
171,Boston University,AE,17-13,-0.59,104.4,104.9,62.7,+.003,-5.22,100.0,105.2,-3.11
172,Montana,BSky,17-12,-0.70,104.1,104.8,61.9,+.030,-3.52,102.1,105.6,+1.78
173,Fairfield,MAAC,17-15,-0.77,103.2,104.0,63.6,+.080,+0.28,101.3,101.1,+3.26
174,Tulane,CUSA,14-17,-0.78,98.6,99.4,64.6,-.010,+0.95,104.2,103.2,-4.57
